,srch_destination_id,srch_adults_cnt,srch_children_cnt,stay_dur,srch_rm_cnt,prediction
27889,12153,1,0,1.0,1,[50 42 16 91 94]
27896,8218,2,0,1.0,1,[47 72 91 21 41]
27899,8254,2,0,5.0,1,[98 21 37 41 95]
27902,8230,2,0,2.0,1,[95 19 98 68 21]
27909,8218,4,0,1.0,2,[72 47 91 41 21]
27913,12944,1,0,1.0,1,[55 10  6 99 16]
27921,8791,2,0,1.0,1,[65 66 52 87  0]
27926,12466,1,0,1.0,1,[51  6 15 50 18]
27930,21590,1,0,7.0,1,[46 70 64 82 78]
27957,3744,2,0,1.0,1,[40 73 13 17 39]
27968,8273,4,0,4.0,2,[68 18 91 72 19]
27990,8223,2,1,1.0,1,[98 70 41 69 56]
27996,23481,4,0,3.0,2,[97 25 64  5 86]
28011,23482,4,0,3.0,2,[ 9 64 25 97 22]
28019,11620,2,0,2.0,1,[37 21 97 13 41]
28021,11620,4,0,2.0,2,[21 37 13 97 41]
28043,8250,6,0,2.0,3,[ 1 54 51 24 79]
28061,45327,1,0,1.0,1,[41 98 70 56 55]
28090,5497,2,0,2.0,1,[61 81 62 57 63]
28093,5497,2,0,2.0,1,[61 81 62 57 63]
28095,5497,2,0,1.0,1,[61 81 62 57 63]
28106,11320,1,0,1.0,1,[15 42 91 48 47]
28111,5305,1,0,2.0,1,[30 14  5 76 48]
28122,5305,1,0,1.0,1,[30 14 76 78 48]
28152,21713,2,0,2.0,1,[78 38 75 82 43]
28154,5305,1,0,1.0,1,[30 14  5 15 48]
28164,12244,2,0,3.0,1,[22  8 25 33 37]
28170,8806,2,0,3.0,1,[64 11 25 22 62]
28171,8806,2,0,3.0,1,[64 11 25 22 62]
28172,8859,1,0,1.0,1,[ 0 33 96 21 26]
28183,295,3,0,1.0,1,[43 62 82 78 30]
28186,295,3,0,1.0,1,[43 62 82 78 30]
28202,8262,2,0,5.0,1,[68  9 37 95 28]
28208,26761,2,0,1.0,1,[15 16 48 91 39]
28219,11620,2,0,1.0,1,[21 37 97 41 77]
28242,12269,2,1,3.0,1,[41 19 70 72 56]
28244,8838,2,1,2.0,1,[73 90 25 16 19]
28253,3361,2,0,1.0,1,[50 32 47  7 91]
28255,1493,2,0,1.0,1,[91 42 76 72 13]
28258,8258,2,0,1.0,1,[14 91 37 16 42]
28260,19522,2,0,1.0,1,[91 16 42 94 48]
28276,11987,2,0,6.0,1,[ 7 91 32 42 48]
28278,5209,2,0,8.0,1,[94 48 91 32 14]
28303,25615,2,0,1.0,1,[90 91 15 17 42]
28312,8226,1,0,2.0,1,[46 61 64 82 38]
28314,8218,1,0,3.0,1,[47 91 72 49 77]
28326,8218,1,0,3.0,1,[47 91 72 49 40]
28337,30301,1,0,2.0,1,[46 82 61 20 81]
28346,8255,1,0,4.0,1,[29 36 46 15  9]
28350,8226,2,0,2.0,1,[46 61 64 38 82]
28353,8226,1,0,2.0,1,[46 61 64 38 82]
28388,8226,2,0,2.0,1,[46 61 64 38 82]
28406,8218,2,0,1.0,1,[72 47 91 95 41]
28411,11998,1,0,1.0,1,[96 15 18 68 47]
28421,43130,2,0,1.0,1,[10 51  7 91 47]
28462,8253,1,0,5.0,1,[97 25  9 37 98]
28480,14350,3,1,2.0,1,[30  5 85 62 15]
28488,53932,4,1,2.0,2,[81 61 85 82 78]
28490,41855,2,0,1.0,1,[91 41 47 48 94]
28498,27819,2,0,2.0,1,[21 18 83 91 41]
28503,12189,2,0,1.0,1,[18 95 19 16 33]
28505,12133,2,0,1.0,1,[18 48 91 16 42]
28520,27819,2,0,1.0,1,[21 18 83 91 41]
28524,27819,2,0,1.0,1,[21 18 83 91 41]
28526,27819,1,0,1.0,1,[21 18 83 91 41]
28528,41855,2,0,1.0,1,[91 41 47 48 13]
28531,41855,2,0,1.0,1,[91 41 47 48 94]
28588,8213,1,0,6.0,1,[98 97  2 37  9]
28591,8213,1,0,1.0,1,[98 97  2 37  9]
28593,8213,1,0,1.0,1,[98 97  2  9 37]
28597,22787,1,0,1.0,1,[ 2 89 59  6 36]
28610,8235,4,3,2.0,2,[42 16 91 59 48]
28622,8250,1,0,3.0,1,[ 1 24 45 79 54]
28627,4206,2,0,1.0,1,[16 18 91 48 42]
28629,26609,2,0,1.0,1,[13 16 91 42 33]
28631,4206,4,0,1.0,2,[16 18 91 42 48]
28634,8261,2,0,1.0,1,[18 91 13 59  2]
28635,8261,2,0,2.0,1,[18 91 13 59  2]
28637,11835,2,0,2.0,1,[54 91 51 10 47]
28639,4206,2,0,1.0,1,[16 18 91 42 48]
28652,11835,2,0,3.0,1,[54 91 51 10 47]
28655,11835,2,0,3.0,1,[54 91 51 10 47]
28658,11835,4,0,2.0,2,[54 91 51 10 77]
28662,27703,4,0,3.0,2,[ 2 59 68 21 13]
28668,12206,2,0,4.0,1,[ 1 79 45 24 51]
28671,8276,2,0,1.0,1,[18  9  6 59 91]
28675,7858,4,0,3.0,2,[94 91 48 32 42]
28679,12206,2,0,1.0,1,[ 1 79 45 24 51]
28694,23545,2,0,1.0,1,[ 6 18 16 42 91]
28700,11835,4,0,3.0,2,[54 91 51 10 47]
28706,27703,4,0,2.0,2,[ 2 21 59 95 68]
28709,11835,4,0,3.0,2,[54 91 51 10 77]
28714,11835,6,0,3.0,3,[54 91 51 10 77]
28717,24687,1,0,1.0,1,[72 59 13 42 91]
28736,25803,2,0,1.0,1,[33 77 40 47 51]
28766,24374,2,1,2.0,1,[34 32 50 31 39]
28810,12227,2,0,2.0,1,[83 41 17 70 77]
28846,12227,2,0,2.0,1,[83 41 17 70 77]
28847,28512,2,0,2.0,1,[76 96 84 26 51]
28854,48040,2,1,2.0,1,[61 30 82 78  2]
28861,21588,2,1,3.0,1,[64  5 25 37 90]
28871,22391,2,1,6.0,1,[65 93 80 73 85]
28873,22407,2,1,4.0,1,[63 67 44 78 61]
28875,8289,1,1,2.0,1,[11 64 82  2 46]
28878,8289,1,1,2.0,1,[11 64  2 82 46]
28896,12576,2,0,1.0,1,[33  4 19 28 17]
28898,12823,2,0,2.0,1,[18 95 91 42 28]
28900,12576,2,0,1.0,1,[33  4 28 47 19]
28907,55103,2,0,1.0,2,[ 6 10  9 15  2]
28913,1901,2,0,4.0,1,[10 36  2 37 59]
28921,59494,2,0,1.0,1,[ 9 17 86 91 84]
28926,13006,2,0,1.0,1,[ 9 17 91 86 84]
28930,27078,4,0,1.0,2,[72 59  9  2 91]
28939,42332,2,0,1.0,1,[32 94 91 82  7]
28944,27036,1,0,1.0,1,[ 7 51 42 91 48]
28964,8268,2,2,5.0,1,[34 71 16  0 96]
28969,8268,2,2,3.0,1,[34 71 16  0 96]
28991,12654,2,2,3.0,1,[34 16 71 42 91]
29075,24806,2,2,2.0,1,[ 8 50 43  7 91]
29081,49435,2,1,1.0,1,[32 47 94  7 91]
29083,49435,2,1,1.0,1,[32 47 94  7 91]
29086,24831,2,1,1.0,1,[39 91 32  7 48]
29089,24823,2,1,2.0,1,[13 91 51 47 32]
29111,8814,2,0,5.0,1,[26 70 41 68 33]
29130,14875,2,0,2.0,1,[50 21 95 33 19]
29157,12008,1,0,3.0,1,[91 48 18 28 13]
29163,11647,1,0,1.0,1,[42 50 48 82 91]
29183,22169,2,0,1.0,1,[90 59 99  6  2]
29187,17820,2,0,1.0,1,[42 91 90 50 76]
29191,9542,2,0,1.0,1,[62 82 78  3 43]
29208,25331,2,0,1.0,1,[69 83 91 41 33]
29237,8278,2,0,2.0,1,[95 18 68 91 16]
29238,8279,1,0,1.0,1,[98 70 55 41 83]
29241,12267,1,0,1.0,1,[77 40 94 48 72]
29247,12206,1,0,3.0,1,[ 1 45 79 24 51]
29249,12206,1,0,5.0,1,[ 1 45 79 24 51]
29262,8250,1,0,5.0,1,[ 1 79 45 24 51]
29267,8250,1,0,3.0,1,[ 1 45 79 24 54]
29269,23650,1,0,1.0,1,[79 51 84 86 17]
29271,8250,2,0,2.0,1,[ 1 24 45 54 79]
29284,8239,2,0,3.0,1,[ 2 48 42 25 59]
29287,20460,1,0,2.0,1,[ 4 95 59  6 61]
29310,14127,3,0,8.0,1,[50 77 48 83 47]
29324,12269,3,0,1.0,1,[41 19 70 56 72]
29365,8785,2,0,1.0,1,[22  8 64 58  5]
29382,8740,2,0,2.0,1,[ 8 22 78  5 43]
29465,21676,2,0,1.0,1,[43 62 82 58 30]
29489,8785,2,0,1.0,1,[22  8 64 58  5]
29491,12266,1,0,4.0,1,[19 70 91 72 16]
29495,8250,2,0,5.0,1,[ 1 24 45 79 54]
29506,12233,2,0,3.0,1,[70 56 98 41 55]
29513,8790,2,0,3.0,1,[29 85 82 36 46]
29525,8785,2,0,2.0,1,[22  8 64 58 37]
29537,8791,2,1,5.0,1,[65 66 52 87  0]
29549,8250,2,0,5.0,1,[ 1 24 45 79 54]
29577,12270,2,2,1.0,1,[68 98 95 55 97]
29631,12194,2,0,1.0,1,[72 95 41 91 68]
29682,8272,2,0,2.0,1,[42 48 91 34 15]
29697,8266,2,0,1.0,1,[ 9 95 18 91 98]
29733,14984,2,0,4.0,1,[80 93 55 17 61]
29754,27422,2,0,3.0,1,[48 94 91 42 47]
29764,66,1,0,1.0,1,[15 47 91 48 51]
29773,29852,2,0,5.0,1,[90 91 17 86 15]
29775,18055,1,0,1.0,1,[32  2 42 72 94]
29777,12501,2,0,1.0,1,[ 6  2 11 21 59]
29780,8794,2,0,1.0,2,[ 2 61 78 82 15]
29782,8739,2,0,1.0,2,[ 2 29 59 82 46]
29792,11922,1,0,1.0,1,[37 91 28 55 48]
29794,25828,1,0,3.0,1,[74 86 80 17 84]
29806,23641,1,0,4.0,1,[28 48 43 82 25]
29808,8277,2,0,1.0,1,[42 91 16 95 48]
29810,8277,2,0,3.0,1,[42 91 18 48 16]
29819,43275,1,0,2.0,1,[91 48 13 94 47]
29832,12308,1,0,1.0,1,[ 6  5 21 80 91]
29834,12308,1,0,2.0,1,[ 6  5 21 80 91]
29841,22869,1,0,2.0,1,[36 15 30 43 81]
29843,22869,1,0,1.0,1,[36 15 30 43 81]
29853,4770,1,0,1.0,1,[ 7 48 81 91 42]
29855,66,1,0,1.0,1,[15 47 91 48 39]
29859,8277,2,0,2.0,1,[42 91 16 18 48]
29873,3436,1,0,2.0,1,[63 61 86 81 46]
29877,12839,2,1,5.0,1,[ 0 70 26 68 72]
29879,12495,2,1,3.0,1,[51 48 50 77 42]
29895,367,1,0,1.0,1,[33 13 42 47 91]
29897,12010,1,0,1.0,1,[48 94 42 91 16]
29900,51340,2,0,1.0,1,[ 8 42 91 48  7]
29904,390,2,0,1.0,1,[42 91 94 48 50]
29915,589,2,0,1.0,1,[34 39 68 72 91]
29920,5666,1,0,5.0,1,[13 91 47 15 42]
29926,11626,2,0,1.0,1,[ 6 39 16 78 91]
29929,11821,2,0,1.0,1,[47 91 48 40  6]
29933,11626,2,0,1.0,1,[ 6 39 16 78 48]
29936,5666,2,0,1.0,1,[13 91  8 42 15]
29953,8243,2,0,2.0,1,[21 91 51 47 42]
29963,8824,2,0,4.0,1,[65 66 52 84 87]
29970,8260,2,0,3.0,1,[41 21 70 83 98]
30079,8267,2,0,3.0,1,[33 48 72 41 21]
30134,13605,2,0,1.0,1,[41 47 32 91 16]
30138,24952,2,0,1.0,1,[13 96  8 42 91]
30153,8230,2,0,3.0,1,[95 19 98 68 21]
30174,11850,2,0,1.0,1,[17 86 80 90 84]
30180,8262,2,0,2.0,1,[68 95  9 28 37]
30189,14173,1,0,4.0,1,[ 2 89 59 48 91]
30191,304,2,0,2.0,1,[36 81 15 57 30]
30194,12239,2,0,1.0,1,[42 18 23 37 95]
30207,8746,2,0,2.0,1,[99 22 58 64  9]
30214,1885,1,0,1.0,1,[16 33 14 39 47]
30216,26503,2,0,1.0,1,[94 91 32 48 18]
30218,26503,2,0,1.0,1,[94 91 32 48 18]
30223,9147,2,0,7.0,1,[96  0 50 47 16]
30240,8250,1,0,3.0,1,[ 1 24 45 79 51]
30248,35639,2,0,2.0,1,[28 13 48 10 39]
30250,23534,2,0,1.0,1,[37 36 10 91 90]
30252,23590,2,0,1.0,1,[47 50  7 51 48]
30255,8746,2,0,3.0,1,[22 64  9 99 36]
30292,30337,2,0,3.0,1,[25 37 64 59 58]
30302,12269,1,0,2.0,1,[41 19 70 56 72]
30345,12269,1,0,1.0,1,[41 19 70 56 72]
30355,12264,1,0,3.0,1,[68  4 95 55 49]
30394,28644,1,0,1.0,1,[ 7 49 48 91 13]
30403,14139,1,0,1.0,1,[17 21 33 55 41]
30410,24277,2,0,3.0,1,[13 47  7 91 48]
30493,50688,2,0,1.0,1,[34 86 26 84 91]
30634,50688,2,0,1.0,1,[34 86 26 84 91]
30676,8747,1,0,2.0,1,[99 97  9  2 48]
30679,8823,1,0,2.0,1,[ 8 86 22  5 40]
30772,44045,2,0,2.0,1,[41 70 98 83 17]
30824,12178,2,0,2.0,1,[69 28 91 95 72]
30868,11229,2,0,1.0,1,[91 72 28 48 42]
30950,8268,2,1,6.0,1,[34 71 16  0 96]
30959,25934,2,0,1.0,1,[22 86 17 91 25]
30969,6088,1,0,1.0,1,[68 41 91 18 13]
31008,8279,2,0,4.0,1,[98 55 41 70 83]
31019,14127,4,0,8.0,1,[50 77 48 83 16]
31023,14127,4,0,8.0,1,[50 77 48 83 16]
31024,14127,4,0,8.0,1,[50 77 48 83 16]
31026,14127,2,0,8.0,1,[50 77 48 83 47]
31039,12215,2,0,4.0,1,[21 98 17 37 99]
31069,12233,1,0,1.0,1,[56 98 70 41 55]
31084,12233,2,0,1.0,1,[56 70 98 41 55]
31201,8279,2,0,6.0,1,[98 55 41 70 83]
31299,40890,2,0,1.0,1,[28 91 42  2 95]
31350,7635,2,0,3.0,1,[98 56 41 70 69]
31378,12206,2,0,2.0,1,[ 1 79 45 24 51]
31401,12269,2,0,4.0,1,[41 19 70 72 56]
31406,8279,2,0,6.0,1,[98 55 41 70 83]
31422,13378,2,0,1.0,1,[55 10 51  4 90]
31522,8788,2,1,3.0,1,[64 59  2 37 11]
31527,8817,2,1,3.0,1,[82 62 46 78 64]
31529,8255,2,1,1.0,1,[36 29 15  9 46]
31545,8250,4,0,4.0,1,[ 1 24 45 79 54]
31549,8250,4,0,4.0,1,[ 1 24 45 79 54]
31558,8213,2,0,1.0,1,[97 98  2  9 59]
31573,21777,2,0,2.0,1,[22 86 78  8 64]
31603,21773,2,0,3.0,1,[78 58 61 85 43]
31664,33078,2,0,3.0,1,[90 91 86 17 73]
31668,11353,2,0,3.0,1,[ 0 48 31 41 77]
31719,20207,2,2,1.0,1,[82 81 25 43 61]
31730,25529,1,1,1.0,1,[15 48 39 91 90]
31732,8745,2,0,4.0,1,[64 25  5 37 58]
31751,1762,1,0,5.0,1,[82 48 78 81 38]
31754,26665,1,0,2.0,1,[48 14 39 91 94]
31758,11647,1,0,1.0,1,[42 50 48 91 82]
31763,12261,2,0,2.0,1,[72 91 18 42 95]
31826,13441,4,0,2.0,1,[49 16 34 50 77]
31846,26900,2,0,1.0,2,[48 94  7 42 91]
31866,12261,2,0,1.0,2,[72 42 91 18 49]
31875,26932,1,0,2.0,1,[23 76 86 18 17]
31881,11379,1,0,1.0,1,[48 91 42  7 82]
31883,23791,1,0,1.0,1,[ 6 91  7 15 32]
31897,18998,2,1,14.0,1,[64 22 46 58 36]
31908,8745,2,0,3.0,1,[64 25 58 37 11]
31944,8746,2,0,5.0,1,[22  9 64 99 58]
31981,27427,1,0,3.0,1,[ 7 76 42 48 91]
31982,27080,1,0,2.0,1,[94 14 48 40 91]
31983,27427,2,0,5.0,1,[ 7 76 42 48 91]
31989,27427,2,0,5.0,1,[ 7 76 42 48 91]
31991,27475,2,0,1.0,2,[28 21 98 13 72]
31997,12501,1,0,1.0,1,[ 6  2 11 21 59]
32000,12501,1,1,1.0,1,[ 6  2 11 59 21]
32005,5044,3,0,1.0,3,[42 89 91 50 48]
32009,5175,2,1,1.0,2,[18 68 91 94 13]
32014,8265,2,1,2.0,2,[72 13 91 47 39]
32016,6302,1,1,1.0,1,[47  7 91 48 32]
32019,17859,1,0,1.0,1,[91 68 28 34 39]
32021,8265,1,0,1.0,1,[72 91 13 47 39]
32027,8250,2,0,3.0,1,[ 1 45 24 79 54]
32028,8237,2,0,4.0,2,[94 18 48 91  4]
32030,3931,2,0,3.0,2,[94 91 32 48 18]
32033,35358,3,0,2.0,3,[48 94  7 91 42]
32036,3931,1,0,1.0,1,[94 91 32 48 18]
32040,18055,3,1,2.0,3,[32  2 42 94 72]
32042,27427,1,0,2.0,1,[ 7 76 42 48 91]
32044,27427,2,0,14.0,1,[ 7 76 42 48 47]
32045,9183,1,0,1.0,1,[37 91 17 18 86]
32048,8250,2,0,3.0,1,[ 1 45 79 24 54]
32054,8237,1,0,1.0,1,[18 94 48 91  4]
32059,8265,1,0,1.0,1,[72 91 13 47 39]
32062,8249,1,0,4.0,1,[91 37 25 21 18]
32064,8265,2,0,1.0,2,[72 13 91 47 39]
32072,8237,1,0,4.0,1,[18 94 48 91  4]
32074,8249,2,0,3.0,2,[37 91 21 25 18]
32076,25904,1,0,1.0,1,[50 48 91  6  7]
32078,27390,2,0,1.0,2,[14 48 78  7 91]
32081,27476,2,0,1.0,2,[68 28 13 91 41]
32090,8249,1,0,2.0,1,[91 25 37 21 42]
32092,8249,1,0,1.0,1,[91 21 25 37 18]
32096,24690,1,0,3.0,1,[94 40 16 18 48]
32099,24690,1,0,3.0,1,[94 40 16 18 48]
32102,8265,1,0,3.0,1,[72 91 13 47 39]
32103,8265,1,0,2.0,1,[72 91 13 47 39]
32107,12320,2,0,1.0,2,[72 16 42 13 28]
32109,6047,4,0,2.0,4,[48 94 42 91 13]
32112,11812,2,0,2.0,2,[19 91 28 48 47]
32114,27390,1,0,6.0,1,[14 48 78  7 91]
32116,27390,1,0,5.0,1,[14 48 78  7 91]
32121,1114,1,0,4.0,1,[42 48  2  5 82]
32123,1114,1,0,3.0,1,[42 48  5  2 82]
32126,8239,1,0,1.0,1,[ 2 48 42 25 91]
32128,27080,1,0,3.0,1,[94 14 48 40 91]
32131,8273,1,0,2.0,1,[68 91 18  9 48]
32149,12227,2,1,1.0,1,[83 41 70 17 77]
32157,8230,1,0,3.0,1,[95 19 98 21 68]
32166,8273,1,0,2.0,1,[68 91 18 19  9]
32226,8256,1,0,5.0,1,[46 61 64  5 58]
32234,26023,2,0,1.0,1,[42  6 16 51 50]
32244,669,2,1,4.0,1,[ 0 83 84 33 97]
32247,669,2,1,3.0,1,[ 0 83 33 97 21]
32253,8745,2,0,2.0,1,[64 25  5 11 58]
32283,24667,2,0,2.0,1,[33 91 18  5 40]
32297,8741,1,0,1.0,1,[64 46 11 36 99]
32309,21196,3,1,4.0,2,[ 2 82 61 36 85]
32316,21790,3,1,1.0,2,[59  9 21 40 25]
32378,26663,2,2,3.0,1,[32 16 42 15 91]
32380,8281,2,0,1.0,1,[68 95 19  9 55]
32390,8281,2,0,1.0,1,[68 95 19  9 55]
32393,25699,2,1,2.0,1,[13 51 91 42 47]
32397,25699,2,0,3.0,1,[13 51 91 47 42]
32465,24606,2,0,1.0,1,[85 62  3 82 59]
32475,8834,2,1,3.0,1,[ 9 50 55 83  0]
32482,22072,1,0,2.0,1,[43 30 82 86 91]
32491,23693,3,3,1.0,1,[41 37 33 69 91]
32519,12450,2,0,1.0,1,[95 49 59 98 72]
32523,27396,1,0,1.0,1,[19 77 59 91 39]
32529,42630,1,0,1.0,1,[69 21 95 68 98]
32532,27140,1,0,1.0,1,[94 47 51 91 48]
32534,27396,2,0,1.0,1,[77 19 59 91 39]
32539,11357,1,0,1.0,1,[28 77 91 48 59]
32542,27396,1,0,1.0,1,[77 19 59 39 91]
32546,12191,1,0,1.0,1,[95 68 19  9 69]
32550,8291,1,0,1.0,1,[95  9 98 59 18]
32556,8739,2,2,4.0,1,[ 2 29 59 46 58]
32562,8250,2,0,4.0,2,[ 1 45 79 24 51]
32564,8803,2,0,6.0,1,[46 12 29 36 59]
32604,45317,2,2,1.0,1,[16 94 91 32 42]
32613,468,2,0,3.0,1,[64 13 58 59 46]
32635,35597,2,0,1.0,1,[22 42  8  7 91]
32637,25559,3,0,1.0,2,[77 42 76  7 48]
32640,7635,2,0,2.0,2,[56 98 70 41 69]
32643,20895,2,0,2.0,1,[64 25 67 22 97]
32648,8267,1,0,4.0,1,[98 56 41 70 69]
32666,26056,1,0,1.0,1,[76 51 86 17 91]
32668,17563,2,0,6.0,1,[91 13 90 15 68]
32670,13610,2,0,6.0,1,[95 18 91 19 10]
32672,8745,1,0,3.0,1,[64  5 11 58 25]
32676,25736,2,0,7.0,1,[18 77 72 48 42]
32679,1531,2,0,1.0,1,[97 70 41 69 83]
32681,7635,2,1,3.0,1,[56 98 41 70 69]
32686,1531,2,0,3.0,1,[97 70 41 69 83]
32688,12810,2,0,4.0,1,[37 48 91 10 28]
32691,8267,2,0,4.0,1,[98 56 41 70 69]
32695,25736,2,0,12.0,1,[77 72 18 48 42]
32697,12658,2,0,1.0,1,[50 94  7 91 83]
32699,8254,2,0,3.0,1,[98 95 21 41 77]
32701,1531,1,0,1.0,1,[97 70 41 69 83]
32703,1531,1,0,1.0,1,[97 70 41 69 83]
32706,24278,2,0,1.0,1,[37 93 55 90 17]
32710,54800,2,0,1.0,1,[73 17 86 80 84]
32712,1531,2,0,3.0,1,[97 70 41 69 83]
32714,8267,2,0,5.0,1,[98 56 41 70 69]
32720,8267,2,0,3.0,1,[98 56 41 70 69]
32727,8217,1,0,3.0,1,[46  9 59 90  6]
32743,32093,1,0,6.0,1,[87 86 80 84 17]
32751,49149,2,0,1.0,1,[81 46 61 20 82]
32759,8739,2,0,2.0,2,[ 2 29 59 46 82]
32772,8741,3,0,1.0,3,[11 64 46 59 82]
32784,18046,1,0,3.0,1,[64 67 82 58 62]
32785,11976,2,0,1.0,2,[91 28  6 48 42]
32826,25116,2,0,2.0,1,[36 58 57 82 62]
32841,44642,4,0,2.0,2,[14 48 91 86 17]
32912,25441,1,0,1.0,1,[67 86 36 82 20]
32914,25443,1,0,1.0,1,[46 61 82 20 30]
32916,25442,1,0,1.0,1,[82 78 48 43 81]
32918,25443,1,0,2.0,1,[46 61 82 20 30]
32922,25464,1,0,1.0,1,[67 36 86 20 82]
32924,25442,1,0,2.0,1,[82 78 48 81 43]
32928,25443,1,0,1.0,1,[46 61 82 20 30]
32930,25464,1,0,1.0,1,[67 36 86 38 82]
32932,24659,2,0,2.0,1,[57 35 85 81 63]
32935,24659,2,0,2.0,1,[57 35 85 81 63]
32980,8825,2,0,7.0,1,[31 73 63 84 91]
32982,25417,1,0,1.0,1,[42 91 48 16 18]
32995,28495,2,0,2.0,1,[48 94 91 16 47]
33000,5694,2,0,2.0,1,[94 91 48 18 47]
33008,8268,2,0,1.0,1,[34 16 71  0 96]
33010,8747,2,0,7.0,1,[97 99  2  9 48]
33043,8747,4,0,3.0,2,[99 97 48  2 25]
33045,8744,4,0,3.0,2,[15 12 62 48 36]
33059,21367,1,0,2.0,1,[59 18 91 10 42]
33065,21367,2,0,2.0,1,[59 10 91 42 18]
33066,8285,1,0,9.0,1,[11  2 64 25  4]
33070,8267,1,0,5.0,1,[98 56 41 70 69]
33085,8746,2,0,3.0,1,[22  9 99 64 58]
33123,23288,2,0,1.0,1,[54 91 51 10 77]
33126,24205,2,0,1.0,1,[42 91  7  3 48]
33145,635,2,0,4.0,1,[36 62 67 46 12]
33153,11319,2,0,1.0,1,[17 31 48 73 77]
33159,23003,2,0,1.0,1,[43 30 81 82 78]
33165,8253,3,1,5.0,2,[25 97 98 11 64]
33178,14846,2,2,2.0,1,[68 18 91 59 15]
33184,8856,2,0,3.0,1,[ 0 44 34 26 73]
33204,20845,2,0,3.0,1,[31 63 78 81 76]
33206,12545,2,0,3.0,1,[63 62 61 57 78]
33208,12545,2,0,2.0,1,[63 62 61 57 78]
33211,8220,2,0,1.0,1,[12 46 62 59 36]
33250,12269,2,2,5.0,1,[41 19 70 72  9]
33257,12257,2,0,7.0,1,[41 70 17 68 50]
33271,12215,2,0,1.0,2,[21 98 17 37 40]
33274,26022,1,0,2.0,1,[49 55  9 68 19]
33284,3120,1,0,1.0,1,[14 48 86 91 17]
33287,4396,1,0,1.0,1,[76 51 86 17 91]
33289,12008,2,0,1.0,1,[91 18 48 28 13]
33291,5644,1,0,1.0,1,[50  7 91 48 47]
33294,27591,1,0,1.0,1,[48 14 94 91 32]
33296,25315,1,0,1.0,1,[59 48 39 14  5]
33306,47978,1,0,1.0,1,[48 16 94 33 47]
33308,3464,1,0,2.0,1,[48 94 91 16 42]
33310,12218,2,0,1.0,1,[95 18 91 48  6]
33312,12691,1,0,1.0,1,[42 28 32 91 59]
33314,12004,1,0,1.0,1,[32 16 42 59 91]
33315,26370,1,0,1.0,1,[13 14 91  7 47]
33316,64570,1,0,1.0,1,[47 91  7 51 48]
33317,12008,1,0,1.0,1,[91 18 48 28 16]
33322,12008,1,0,1.0,1,[91 18 48 28 16]
33323,8268,1,0,1.0,1,[34 16 71  0 96]
33327,12544,1,0,2.0,1,[ 3 68 59 64  2]
33329,21790,2,1,1.0,1,[59  9 21 40 99]
33332,26343,1,0,4.0,1,[13 48  7 47 14]
33333,3355,1,0,1.0,1,[91 48 14 42 76]
33383,12669,2,0,1.0,1,[21 49 77 13 16]
33391,12132,2,0,6.0,1,[95 18 91 10 72]
33395,12132,2,0,5.0,1,[95 18 91 10 72]
33434,12132,2,0,4.0,1,[95 18 91 50 32]
33438,8824,4,0,2.0,2,[65 66 52 84 87]
33449,12264,2,0,1.0,1,[ 4 68 55 95 49]
33483,12264,2,0,1.0,1,[ 4 68 55 95 49]
33534,8250,2,0,2.0,1,[ 1 24 45 79 54]
33559,27606,2,0,1.0,1,[ 6 32  7 42 47]
33594,19685,2,0,3.0,1,[17 47 15 51 50]
33597,19685,2,0,1.0,1,[17 47 15 51 50]
33604,27610,2,0,1.0,1,[39 14 91 16 48]
33613,13005,2,1,4.0,1,[51 91 17 86 23]
33615,13005,1,1,3.0,1,[51 91 17 86 23]
33618,33655,2,0,1.0,1,[77 76 51  8 30]
33621,46227,2,0,1.0,1,[77 51 76  8 30]
33690,32159,2,2,1.0,1,[42 34 91 43 48]
33709,32159,2,2,1.0,1,[42 34 91 43  7]
33760,24613,2,0,4.0,1,[ 9 61 85 81 16]
33766,20261,2,0,2.0,1,[46 36 29 58 12]
33777,24572,2,0,4.0,1,[36 22 78 82 58]
33780,8020,2,0,1.0,1,[58 86 82 81 85]
33787,21486,2,1,4.0,1,[67 64 20 38 82]
33791,8215,1,0,2.0,1,[ 9 99  2 36 16]
33794,21317,2,0,4.0,1,[44 86 78 30 85]
33800,635,3,1,3.0,2,[36 62 67 12 46]
33832,8291,2,2,2.0,1,[95 98  9 59 18]
33845,56529,2,0,3.0,1,[70 46 83 10 64]
33847,56529,2,0,3.0,1,[70 46 83 10 64]
33864,24687,2,0,2.0,1,[72 59 13 42 39]
33884,8741,2,0,1.0,2,[64 46 11 36 62]
33908,26991,2,2,2.0,1,[42 16 91 48 50]
33918,11360,2,0,1.0,1,[50 91 48 39 47]
33928,8270,2,2,4.0,1,[28 42 48 40 51]
33937,8266,1,0,12.0,1,[ 9 95 91 48 55]
33941,24693,1,0,2.0,1,[23 19 25 72  9]
33946,26428,2,0,4.0,2,[17 33 37  8 10]
33948,26428,1,0,4.0,1,[17 33 37  8 10]
33951,8267,1,0,8.0,1,[98 56 41 70 69]
33953,8267,1,0,7.0,1,[98 56 41 70 69]
33955,8267,1,0,4.0,1,[98 56 41 70 69]
33957,26425,2,0,4.0,2,[73 17 86 80 84]
33959,26425,2,0,4.0,1,[73 17 86 80 84]
33967,19535,1,0,1.0,1,[23 28 39 42 13]
